observed_on,latitude,longitude
2019-04-25,34.7291128975,-118.4071080657
2020-04-25,34.7224805556,-118.3639722222
2020-04-28,34.7149785648,-118.3239706987
2020-04-28,34.7170409805,-118.3994026252
2020-04-28,34.7249116,-118.3969062
2020-04-24,34.72454167,-118.40292167
2020-04-19,34.74761167,-118.31825333
2020-04-30,34.7270198801,-118.3866124566
2020-05-01,34.7177376375,-118.394548369
2020-04-22,34.7176769381,-118.3896572776
2020-05-03,34.7320945321,-118.3522732137
2020-04-21,34.7207138889,-118.3676833333
2020-04-21,34.7246777778,-118.4043972222
2020-05-03,34.70383833,-118.3322
2020-05-03,34.72143667,-118.41388
2020-05-06,34.7184792806,-118.4055035776
2020-05-06,34.7304750095,-118.4134171811
2020-05-10,34.7242689093,-118.4064864708
2020-04-25,34.7513712,-118.2522977
2019-04-18,34.72478,-118.3849416667
2020-04-21,34.74666167,-118.346595
2020-03-29,34.7291311333,-118.3817627043
2020-04-24,34.7244444444,-118.4025
2020-04-25,34.74799667,-118.31855
2019-03-31,34.7039866667,-118.3316033333
2020-04-25,34.726363223,-118.394513223
